ビャンビャン麺	ビャンビャンめん	3
占い	うらない	0
地獄	じごく	3
推薦状	すいせんじょう	0
蘇る	よみがえる	3
頰	ほお	1
鹿	しか	0
𰻞𰻞麺	ビャンビャンめん	3
